Harsh:                               0.9 : 9
Dark Ambient:                        0.7000000000000001 : 8
Noise:                               0.7000000000000001 : 8
Trippy:                              0.7000000000000001 : 8
Unsettling:                          0.7000000000000001 : 8
Halloween:                           0.7000000000000001 : 8
Scary Music:                         0.7000000000000001 : 8
The Creative Side:                   0.7000000000000001 : 8
Circular:                            0.5000000000000001 : 7
Menacing:                            0.5000000000000001 : 7
Tense/Anxious:                       0.5000000000000001 : 7
Cold:                                0.30000000000000016 : 6
Detached:                            0.30000000000000016 : 6
Meandering:                          0.30000000000000016 : 6
Urgent:                              0.1 : 5
