Cold:                                0.9 : 9
Electronica:                         0.7857142857142858 : 8
Trip-Hop:                            0.7857142857142858 : 8
Angst-Ridden:                        0.7857142857142858 : 8
Atmospheric:                         0.7857142857142858 : 8
Bleak:                               0.7857142857142858 : 8
Brooding:                            0.7857142857142858 : 8
Druggy:                              0.7857142857142858 : 8
Malevolent:                          0.7857142857142858 : 8
Nocturnal:                           0.7857142857142858 : 8
Sensual:                             0.7857142857142858 : 8
Volatile:                            0.7857142857142858 : 8
Heartache:                           0.7857142857142858 : 8
Ambitious:                           0.6714285714285715 : 7
Somber:                              0.6714285714285715 : 7
Seduction:                           0.6714285714285715 : 7
Intense:                             0.5571428571428572 : 6
Ominous:                             0.5571428571428572 : 6
Sexy:                                0.5571428571428572 : 6
Tense/Anxious:                       0.5571428571428572 : 6
Late Night:                          0.5571428571428572 : 6
Eerie:                               0.44285714285714295 : 5
In Love:                             0.44285714285714295 : 5
The Creative Side:                   0.44285714285714295 : 5
Literate:                            0.2142857142857143 : 3
Elegant:                             0.1 : 2
