Children's Folk:                     0.9 : 8
Amiable/Good-Natured:                0.6333333333333333 : 7
Carefree:                            0.6333333333333333 : 7
Cheerful:                            0.6333333333333333 : 7
Earnest:                             0.6333333333333333 : 7
Energetic:                           0.6333333333333333 : 7
Fun:                                 0.6333333333333333 : 7
Playful_mood:                        0.6333333333333333 : 7
Rollicking:                          0.6333333333333333 : 7
Sweet:                               0.6333333333333333 : 7
Whimsical:                           0.6333333333333333 : 7
Exuberant:                           0.3666666666666667 : 6
Gentle:                              0.3666666666666667 : 6
Laid-Back/Mellow:                    0.3666666666666667 : 6
Sing-Alongs:                         0.1 : 5
Lively:                              0.1 : 5
Family Gatherings:                   0.1 : 5
Hanging Out:                         0.1 : 5
Playful:                             0.1 : 5
