Progressive Electronic:              0.9 : 8
Calm/Peaceful:                       0.5000000000000002 : 7
Cold:                                0.5000000000000002 : 7
Delicate:                            0.5000000000000002 : 7
Ethereal:                            0.5000000000000002 : 7
Gentle:                              0.5000000000000002 : 7
Nocturnal:                           0.5000000000000002 : 7
Reflective:                          0.5000000000000002 : 7
Restrained:                          0.5000000000000002 : 7
Introspection:                       0.5000000000000002 : 7
Late Night:                          0.5000000000000002 : 7
Meditation:                          0.5000000000000002 : 7
Relaxation:                          0.5000000000000002 : 7
The Creative Side:                   0.5000000000000002 : 7
Refined:                             0.1 : 6
Soothing:                            0.1 : 6
Reflection:                          0.1 : 6
Solitude:                            0.1 : 6
