Club:                                0.9 : 9
Club/Dance:                          0.6999999999999998 : 8
Electronica:                         0.6999999999999998 : 8
Bright:                              0.6999999999999998 : 8
Energetic:                           0.6999999999999998 : 8
Freewheeling:                        0.6999999999999998 : 8
Fun:                                 0.6999999999999998 : 8
Rousing:                             0.6999999999999998 : 8
Exercise/Workout:                    0.6999999999999998 : 8
Carefree:                            0.5000000000000001 : 7
Celebratory:                         0.5000000000000001 : 7
Confident:                           0.5000000000000001 : 7
Exuberant:                           0.5000000000000001 : 7
Hypnotic:                            0.5000000000000001 : 7
Stylish:                             0.5000000000000001 : 7
Trippy:                              0.5000000000000001 : 7
Hanging Out:                         0.5000000000000001 : 7
Partying:                            0.5000000000000001 : 7
Playful:                             0.5000000000000001 : 7
The Creative Side:                   0.5000000000000001 : 7
Left-Field House:                    0.29999999999999993 : 6
Playful_mood:                        0.29999999999999993 : 6
Witty:                               0.29999999999999993 : 6
House:                               0.1 : 5
