Eerie:                               0.9 : 9
Delta Blues:                         0.7400000000000001 : 8
Pre-War Blues:                       0.7400000000000001 : 8
Regional Blues:                      0.7400000000000001 : 8
Slide Guitar Blues:                  0.7400000000000001 : 8
Intense:                             0.7400000000000001 : 8
Feeling Blue:                        0.7400000000000001 : 8
Late Night:                          0.7400000000000001 : 8
Country Blues:                       0.5800000000000001 : 7
Bleak:                               0.5800000000000001 : 7
Ominous:                             0.5800000000000001 : 7
Pre-War Country Blues:               0.42000000000000004 : 6
Plaintive:                           0.42000000000000004 : 6
Visceral:                            0.42000000000000004 : 6
Reminiscing:                         0.42000000000000004 : 6
Gloomy:                              0.26 : 5
Gritty:                              0.26 : 5
Tense/Anxious:                       0.26 : 5
Earthy:                              0.1 : 4
Searching:                           0.1 : 4
Somber:                              0.1 : 4
