Club:                                0.8999999999999999 : 9
Club/Dance:                          0.7000000000000001 : 8
Electronica:                         0.7000000000000001 : 8
House:                               0.7000000000000001 : 8
Bright:                              0.7000000000000001 : 8
Celebratory:                         0.7000000000000001 : 8
Energetic:                           0.7000000000000001 : 8
Freewheeling:                        0.7000000000000001 : 8
Fun:                                 0.7000000000000001 : 8
Hypnotic:                            0.7000000000000001 : 8
Rousing:                             0.7000000000000001 : 8
Stylish:                             0.7000000000000001 : 8
Exercise/Workout:                    0.7000000000000001 : 8
Partying:                            0.7000000000000001 : 8
Carefree:                            0.5000000000000001 : 7
Confident:                           0.5000000000000001 : 7
Exuberant:                           0.5000000000000001 : 7
Trippy:                              0.5000000000000001 : 7
Hanging Out:                         0.5000000000000001 : 7
Playful:                             0.5000000000000001 : 7
The Creative Side:                   0.5000000000000001 : 7
Left-Field House:                    0.29999999999999993 : 6
Playful_mood:                        0.29999999999999993 : 6
Witty:                               0.29999999999999993 : 6
Big Beat:                            0.1 : 5
