Sentimental:                         0.9 : 9
Cowboy:                              0.7857142857142857 : 8
Traditional Country:                 0.6714285714285715 : 7
Amiable/Good-Natured:                0.6714285714285715 : 7
Earthy:                              0.6714285714285715 : 7
Fun:                                 0.6714285714285715 : 7
Atmospheric:                         0.5571428571428572 : 6
Carefree:                            0.5571428571428572 : 6
Earnest:                             0.5571428571428572 : 6
Gentle:                              0.5571428571428572 : 6
Innocent:                            0.5571428571428572 : 6
Organic:                             0.5571428571428572 : 6
The Great Outdoors:                  0.5571428571428572 : 6
Cheerful:                            0.44285714285714284 : 5
Light:                               0.44285714285714284 : 5
Lively:                              0.44285714285714284 : 5
Refined:                             0.44285714285714284 : 5
Rollicking:                          0.44285714285714284 : 5
Rustic:                              0.44285714285714284 : 5
Soothing:                            0.44285714285714284 : 5
Sweet:                               0.44285714285714284 : 5
Relaxation:                          0.2142857142857143 : 3
Road Trip:                           0.1 : 2
