Progressive Electronic:              0.9 : 9
Calm/Peaceful:                       0.7399999999999999 : 8
Wintry:                              0.7399999999999999 : 8
Introspection:                       0.7399999999999999 : 8
Meditation:                          0.7399999999999999 : 8
Rainy Day:                           0.7399999999999999 : 8
Winter:                              0.7399999999999999 : 8
Cerebral:                            0.5800000000000001 : 7
Ethereal:                            0.5800000000000001 : 7
Somber:                              0.5800000000000001 : 7
Background Music:                    0.5800000000000001 : 7
Reflection:                          0.5800000000000001 : 7
Reminiscing:                         0.5800000000000001 : 7
Minimalism:                          0.41999999999999993 : 6
Dreamy:                              0.41999999999999993 : 6
Gentle:                              0.41999999999999993 : 6
Reserved:                            0.41999999999999993 : 6
Restrained:                          0.41999999999999993 : 6
Solitude:                            0.41999999999999993 : 6
Hypnotic:                            0.26 : 5
Trippy:                              0.26 : 5
Detached:                            0.1 : 4
Reflective:                          0.1 : 4
