Organic:                             0.9 : 8
Continental Jazz:                    0.1 : 5
Gypsy:                               0.1 : 5
South/Eastern European Traditions:   0.1 : 5
Swing:                               0.1 : 5
Cheerful:                            0.1 : 5
Delicate:                            0.1 : 5
Energetic:                           0.1 : 5
Freewheeling:                        0.1 : 5
Lively:                              0.1 : 5
Playful_mood:                        0.1 : 5
Refined:                             0.1 : 5
Rollicking:                          0.1 : 5
Sweet:                               0.1 : 5
Whimsical:                           0.1 : 5
Witty:                               0.1 : 5
Hanging Out:                         0.1 : 5
Romantic Evening:                    0.1 : 5
Summer:                              0.1 : 5
TGIF:                                0.1 : 5
