IDM:                                 0.9 : 9
Electro-Techno:                      0.5000000000000003 : 8
Experimental Techno:                 0.5000000000000003 : 8
Techno:                              0.5000000000000003 : 8
Atmospheric:                         0.5000000000000003 : 8
Clinical:                            0.5000000000000003 : 8
Cold:                                0.5000000000000003 : 8
Complex:                             0.5000000000000003 : 8
Eccentric:                           0.5000000000000003 : 8
Ethereal:                            0.5000000000000003 : 8
Hypnotic:                            0.5000000000000003 : 8
Relaxed:                             0.5000000000000003 : 8
Sophisticated:                       0.5000000000000003 : 8
Trippy:                              0.5000000000000003 : 8
Background Music:                    0.5000000000000003 : 8
Late Night:                          0.5000000000000003 : 8
Relaxation:                          0.5000000000000003 : 8
Solitude:                            0.5000000000000003 : 8
The Creative Side:                   0.5000000000000003 : 8
Bright:                              0.1 : 7
Dreamy:                              0.1 : 7
Nocturnal:                           0.1 : 7
Quirky:                              0.1 : 7
Refined:                             0.1 : 7
Slick:                               0.1 : 7
Meditation:                          0.1 : 7
