Rousing:                             0.9 : 9
Rocksteady:                          0.7400000000000001 : 8
Celebratory:                         0.7400000000000001 : 8
Earthy:                              0.7400000000000001 : 8
Energetic:                           0.7400000000000001 : 8
Lively:                              0.7400000000000001 : 8
Summery:                             0.7400000000000001 : 8
At the Beach:                        0.7400000000000001 : 8
Pool Party:                          0.7400000000000001 : 8
Spring:                              0.7400000000000001 : 8
Summer:                              0.7400000000000001 : 8
Boisterous:                          0.5800000000000001 : 7
Rollicking:                          0.5800000000000001 : 7
Urgent:                              0.5800000000000001 : 7
Partying:                            0.5800000000000001 : 7
Roots Reggae:                        0.42000000000000004 : 6
Day Driving:                         0.42000000000000004 : 6
Road Trip:                           0.42000000000000004 : 6
Atmospheric:                         0.26 : 5
Exuberant:                           0.1 : 4
Exercise/Workout:                    0.1 : 4
