Sing-Alongs:                         0.9 : 9
Earnest:                             0.7400000000000001 : 8
Freedom:                             0.7400000000000001 : 8
Confident:                           0.5800000000000001 : 7
Earthy:                              0.5800000000000001 : 7
Exuberant:                           0.5800000000000001 : 7
Joyous:                              0.5800000000000001 : 7
Organic:                             0.5800000000000001 : 7
Rousing:                             0.5800000000000001 : 7
Spiritual:                           0.5800000000000001 : 7
Empowering:                          0.5800000000000001 : 7
Motivation:                          0.5800000000000001 : 7
Revolutionary:                       0.5800000000000001 : 7
Literate:                            0.26 : 5
Sunday Afternoon:                    0.1 : 4
