Old-Timey:                           0.9 : 9
Traditional Country:                 0.6999999999999998 : 8
Traditional Folk:                    0.6999999999999998 : 8
Bittersweet:                         0.6999999999999998 : 8
Playful_mood:                        0.6999999999999998 : 8
Whimsical:                           0.6999999999999998 : 8
Reminiscing:                         0.6999999999999998 : 8
Sweet:                               0.5000000000000001 : 7
Loss/Grief:                          0.5000000000000001 : 7
Sentimental:                         0.29999999999999993 : 6
Wry:                                 0.29999999999999993 : 6
Amiable/Good-Natured:                0.1 : 5
