Lounge:                              0.9 : 9
Space Age Pop:                       0.74 : 8
Campy:                               0.5800000000000001 : 7
Fun:                                 0.5800000000000001 : 7
Quirky:                              0.5800000000000001 : 7
Tense/Anxious:                       0.5800000000000001 : 7
Theatrical:                          0.5800000000000001 : 7
Playful:                             0.5800000000000001 : 7
The Creative Side:                   0.5800000000000001 : 7
Eerie:                               0.42000000000000004 : 6
Playful_mood:                        0.42000000000000004 : 6
Sparkling:                           0.42000000000000004 : 6
Spooky:                              0.42000000000000004 : 6
Mischievous:                         0.42000000000000004 : 6
Halloween:                           0.1 : 4
Reflection:                          0.1 : 4
