Revolutionary:                       0.9 : 9
Folk Revival:                        0.7666666666666666 : 8
Political Folk:                      0.7666666666666666 : 8
Singer/Songwriter:                   0.7666666666666666 : 8
Traditional Folk:                    0.7666666666666666 : 8
Confrontational:                     0.7666666666666666 : 8
Earnest:                             0.7666666666666666 : 8
Literate:                            0.7666666666666666 : 8
Reminiscing:                         0.7666666666666666 : 8
Rebellious:                          0.6333333333333333 : 7
Empowering:                          0.6333333333333333 : 7
Reflection:                          0.6333333333333333 : 7
Bittersweet:                         0.5 : 6
Earthy:                              0.5 : 6
Passionate:                          0.5 : 6
Plaintive:                           0.5 : 6
Yearning:                            0.5 : 6
Atmospheric:                         0.3666666666666667 : 5
Austere:                             0.3666666666666667 : 5
Autumnal:                            0.3666666666666667 : 5
Delicate:                            0.3666666666666667 : 5
Intimate:                            0.3666666666666667 : 5
Poignant:                            0.3666666666666667 : 5
Sparse:                              0.3666666666666667 : 5
Weary:                               0.3666666666666667 : 5
Autumn:                              0.3666666666666667 : 5
Early Morning:                       0.3666666666666667 : 5
Feeling Blue:                        0.3666666666666667 : 5
Freedom:                             0.3666666666666667 : 5
Hanging Out:                         0.3666666666666667 : 5
Introspection:                       0.3666666666666667 : 5
Late Night:                          0.3666666666666667 : 5
Rainy Day:                           0.3666666666666667 : 5
Solitude:                            0.3666666666666667 : 5
Provocative:                         0.23333333333333334 : 4
Reflective:                          0.23333333333333334 : 4
Unsettling:                          0.1 : 3
