Plaintive:                           0.9000000000000001 : 9
Bluegrass-Gospel:                    0.7000000000000001 : 8
Gospel:                              0.7000000000000001 : 8
Sunday Afternoon:                    0.4999999999999999 : 7
Amiable/Good-Natured:                0.29999999999999993 : 6
Earnest:                             0.29999999999999993 : 6
Earthy:                              0.29999999999999993 : 6
Joyous:                              0.29999999999999993 : 6
Organic:                             0.29999999999999993 : 6
Passionate:                          0.29999999999999993 : 6
Poignant:                            0.29999999999999993 : 6
Reflective:                          0.29999999999999993 : 6
Reverent:                            0.29999999999999993 : 6
Spiritual:                           0.29999999999999993 : 6
Affirmation:                         0.29999999999999993 : 6
Empowering:                          0.29999999999999993 : 6
Bluegrass:                           0.1 : 5
Close Harmony:                       0.1 : 5
Old-Timey:                           0.1 : 5
Traditional Bluegrass:               0.1 : 5
