Playful:                             0.9 : 9
Bright:                              0.7666666666666667 : 8
Cheerful:                            0.7666666666666667 : 8
Exuberant:                           0.7666666666666667 : 8
Energetic:                           0.6333333333333334 : 7
Fun:                                 0.6333333333333334 : 7
Gleeful:                             0.6333333333333334 : 7
Playful_mood:                        0.6333333333333334 : 7
Silly:                               0.6333333333333334 : 7
Whimsical:                           0.6333333333333334 : 7
Hanging Out:                         0.6333333333333334 : 7
TGIF:                                0.6333333333333334 : 7
Carefree:                            0.5000000000000001 : 6
Freewheeling:                        0.5000000000000001 : 6
The Creative Side:                   0.1 : 3
