Traditional Folk:                    0.9 : 9
Folk-Pop:                            0.6333333333333333 : 8
Calm/Peaceful:                       0.6333333333333333 : 8
Pastoral:                            0.6333333333333333 : 8
Precious:                            0.6333333333333333 : 8
Refined:                             0.6333333333333333 : 8
Sentimental:                         0.6333333333333333 : 8
Soothing:                            0.6333333333333333 : 8
Warm:                                0.6333333333333333 : 8
Amiable/Good-Natured:                0.3666666666666666 : 7
Gentle:                              0.3666666666666666 : 7
Poignant:                            0.3666666666666666 : 7
Relaxed:                             0.3666666666666666 : 7
Motivation:                          0.3666666666666666 : 7
Affection/Fondness:                  0.1 : 6
Affirmation:                         0.1 : 6
Empowering:                          0.1 : 6
