Progressive Electronic:              0.9000000000000001 : 9
Ambient:                             0.7000000000000001 : 8
Chamber Jazz:                        0.7000000000000001 : 8
Soothing:                            0.4999999999999999 : 7
Warm:                                0.4999999999999999 : 7
Wistful:                             0.4999999999999999 : 7
Reflection:                          0.4999999999999999 : 7
Dramatic:                            0.29999999999999993 : 6
Elegant:                             0.29999999999999993 : 6
Hypnotic:                            0.29999999999999993 : 6
Lush:                                0.29999999999999993 : 6
Melancholy:                          0.29999999999999993 : 6
Plaintive:                           0.29999999999999993 : 6
Poignant:                            0.29999999999999993 : 6
Refined:                             0.29999999999999993 : 6
Reflective:                          0.29999999999999993 : 6
Sophisticated:                       0.29999999999999993 : 6
Stylish:                             0.29999999999999993 : 6
Introspection:                       0.29999999999999993 : 6
Autumnal:                            0.1 : 5
