Bittersweet:                         0.9000000000000001 : 9
Honky Tonk:                          0.6333333333333333 : 8
Traditional Country:                 0.6333333333333333 : 8
Earthy:                              0.6333333333333333 : 8
Plaintive:                           0.6333333333333333 : 8
Sad:                                 0.6333333333333333 : 8
Wistful:                             0.6333333333333333 : 8
Drinking:                            0.6333333333333333 : 8
Austere:                             0.3666666666666667 : 7
Intimate:                            0.3666666666666667 : 7
Self-Conscious:                      0.3666666666666667 : 7
Breakup:                             0.3666666666666667 : 7
Girls Night Out:                     0.3666666666666667 : 7
Earnest:                             0.1 : 6
Reflective:                          0.1 : 6
Searching:                           0.1 : 6
