Acoustic Blues:                      0.9 : 9
Acoustic Memphis Blues:              0.7666666666666666 : 8
Blues Revival:                       0.7666666666666666 : 8
Piedmont Blues:                      0.7666666666666666 : 8
Regional Blues:                      0.7666666666666666 : 8
Amiable/Good-Natured:                0.7666666666666666 : 8
Earthy:                              0.7666666666666666 : 8
Earnest:                             0.6333333333333332 : 7
Gritty:                              0.6333333333333332 : 7
Organic:                             0.6333333333333332 : 7
Rousing:                             0.6333333333333332 : 7
Sparse:                              0.6333333333333332 : 7
Hanging Out:                         0.6333333333333332 : 7
Small Gathering:                     0.6333333333333332 : 7
Atmospheric:                         0.4999999999999999 : 6
Intimate:                            0.4999999999999999 : 6
East Coast Blues:                    0.3666666666666667 : 5
Slide Guitar Blues:                  0.3666666666666667 : 5
Austere:                             0.3666666666666667 : 5
Boisterous:                          0.3666666666666667 : 5
Confident:                           0.3666666666666667 : 5
Passionate:                          0.3666666666666667 : 5
Reflective:                          0.3666666666666667 : 5
Rustic:                              0.3666666666666667 : 5
Street-Smart:                        0.3666666666666667 : 5
Comfort:                             0.3666666666666667 : 5
Day Driving:                         0.3666666666666667 : 5
Early Morning:                       0.3666666666666667 : 5
Feeling Blue:                        0.3666666666666667 : 5
Freedom:                             0.3666666666666667 : 5
Introspection:                       0.3666666666666667 : 5
Late Night:                          0.3666666666666667 : 5
Reflection:                          0.3666666666666667 : 5
Reminiscing:                         0.3666666666666667 : 5
Road Trip:                           0.3666666666666667 : 5
Sunday Afternoon:                    0.3666666666666667 : 5
The Creative Side:                   0.3666666666666667 : 5
Folk-Blues:                          0.23333333333333336 : 4
Songster:                            0.23333333333333336 : 4
Country Blues:                       0.1 : 3
