Lounge:                              0.9 : 8
Amiable/Good-Natured:                0.6333333333333331 : 7
Carefree:                            0.6333333333333331 : 7
Fun:                                 0.6333333333333331 : 7
Playful_mood:                        0.6333333333333331 : 7
Refined:                             0.6333333333333331 : 7
Stylish:                             0.6333333333333331 : 7
Whimsical:                           0.6333333333333331 : 7
Witty:                               0.6333333333333331 : 7
Drinking:                            0.1 : 5
Hanging Out:                         0.1 : 5
Partying:                            0.1 : 5
Playful:                             0.1 : 5
