Sparkling:                           0.9 : 9
Exotica:                             0.6999999999999998 : 8
Space Age Pop:                       0.6999999999999998 : 8
Campy:                               0.6999999999999998 : 8
Exuberant:                           0.6999999999999998 : 8
Fun:                                 0.6999999999999998 : 8
Gleeful:                             0.6999999999999998 : 8
Playful_mood:                        0.6999999999999998 : 8
Wry:                                 0.6999999999999998 : 8
Hanging Out:                         0.6999999999999998 : 8
Playful:                             0.6999999999999998 : 8
Pool Party:                          0.6999999999999998 : 8
Summer:                              0.6999999999999998 : 8
Amiable/Good-Natured:                0.5000000000000001 : 7
Carefree:                            0.5000000000000001 : 7
Energetic:                           0.5000000000000001 : 7
Freewheeling:                        0.5000000000000001 : 7
Quirky:                              0.5000000000000001 : 7
Whimsical:                           0.5000000000000001 : 7
Mischievous:                         0.5000000000000001 : 7
Lounge:                              0.29999999999999993 : 6
The Creative Side:                   0.29999999999999993 : 6
In Love:                             0.1 : 5
New Love:                            0.1 : 5
