Children's Folk:                     0.9 : 9
Sing-Alongs:                         0.6333333333333333 : 8
Cheerful:                            0.6333333333333333 : 8
Laid-Back/Mellow:                    0.6333333333333333 : 8
Playful:                             0.6333333333333333 : 8
Amiable/Good-Natured:                0.3666666666666667 : 7
Fun:                                 0.3666666666666667 : 7
Playful_mood:                        0.3666666666666667 : 7
Whimsical:                           0.3666666666666667 : 7
Hanging Out:                         0.3666666666666667 : 7
Family Gatherings:                   0.1 : 6
