Alternative/Indie Rock:              0.9 : 9
Angst-Ridden:                        0.7999999999999999 : 8
Cathartic:                           0.7999999999999999 : 8
Fiery:                               0.7999999999999999 : 8
Aggressive:                          0.7000000000000001 : 7
Raucous:                             0.7000000000000001 : 7
Rousing:                             0.7000000000000001 : 7
Snide:                               0.7000000000000001 : 7
Urgent:                              0.7000000000000001 : 7
Cool & Cocky:                        0.7000000000000001 : 7
Acerbic:                             0.6000000000000001 : 6
Bleak:                               0.6000000000000001 : 6
Confrontational:                     0.6000000000000001 : 6
Rebellious:                          0.6000000000000001 : 6
Tense/Anxious:                       0.6000000000000001 : 6
Visceral:                            0.6000000000000001 : 6
Volatile:                            0.6000000000000001 : 6
Brash:                               0.5000000000000001 : 5
Cynical/Sarcastic:                   0.5000000000000001 : 5
Energetic:                           0.5000000000000001 : 5
Harsh:                               0.5000000000000001 : 5
Guys Night Out:                      0.5000000000000001 : 5
Alternative Pop/Rock:                0.1 : 1
Grunge:                              0.1 : 1
