Organic:                             0.9 : 9
Traditional Folk:                    0.7000000000000001 : 8
Sentimental:                         0.7000000000000001 : 8
Revolutionary:                       0.7000000000000001 : 8
Yearning:                            0.4999999999999999 : 7
Loss/Grief:                          0.4999999999999999 : 7
Dramatic:                            0.30000000000000004 : 6
Earnest:                             0.30000000000000004 : 6
Earthy:                              0.30000000000000004 : 6
Intimate:                            0.30000000000000004 : 6
Poignant:                            0.30000000000000004 : 6
Wistful:                             0.30000000000000004 : 6
Amiable/Good-Natured:                0.1 : 5
