Roots Reggae:                        0.9 : 8
Earnest:                             0.7000000000000001 : 7
Hypnotic:                            0.7000000000000001 : 7
Laid-Back/Mellow:                    0.7000000000000001 : 7
Acerbic:                             0.5 : 6
Earthy:                              0.5 : 6
Political Reggae:                    0.30000000000000004 : 5
Passionate:                          0.30000000000000004 : 5
Spacey:                              0.30000000000000004 : 5
Trippy:                              0.30000000000000004 : 5
Witty:                               0.30000000000000004 : 5
Reflective:                          0.1 : 4
Reverent:                            0.1 : 4
Rousing:                             0.1 : 4
