Poignant:                            0.9 : 9
British Folk:                        0.7666666666666666 : 8
British Folk-Rock:                   0.7666666666666666 : 8
Singer/Songwriter:                   0.7666666666666666 : 8
Earthy:                              0.7666666666666666 : 8
Passionate:                          0.6333333333333333 : 7
Bittersweet:                         0.5 : 6
Intimate:                            0.5 : 6
Organic:                             0.5 : 6
Reflective:                          0.5 : 6
Autumn:                              0.5 : 6
Amiable/Good-Natured:                0.3666666666666667 : 5
Earnest:                             0.3666666666666667 : 5
Melancholy:                          0.3666666666666667 : 5
Plaintive:                           0.3666666666666667 : 5
Sentimental:                         0.3666666666666667 : 5
Whimsical:                           0.3666666666666667 : 5
Wistful:                             0.3666666666666667 : 5
Yearning:                            0.3666666666666667 : 5
Introspection:                       0.3666666666666667 : 5
Long Walk:                           0.3666666666666667 : 5
Rainy Day:                           0.3666666666666667 : 5
Reminiscing:                         0.3666666666666667 : 5
Sunday Afternoon:                    0.3666666666666667 : 5
Autumnal:                            0.23333333333333334 : 4
Gentle:                              0.23333333333333334 : 4
Searching:                           0.23333333333333334 : 4
Literate:                            0.1 : 3
