Passionate:                          0.9 : 9
Chicago Blues:                       0.4999999999999998 : 8
Electric Blues:                      0.4999999999999998 : 8
Electric Chicago Blues:              0.4999999999999998 : 8
Amiable/Good-Natured:                0.4999999999999998 : 8
Earthy:                              0.4999999999999998 : 8
Energetic:                           0.4999999999999998 : 8
Exuberant:                           0.4999999999999998 : 8
Guys Night Out:                      0.4999999999999998 : 8
Hanging Out:                         0.4999999999999998 : 8
Joyous:                              0.1 : 7
Road Trip:                           0.1 : 7
