Instrumental Pop:                    0.9000000000000001 : 9
Exotica:                             0.7 : 8
Lounge:                              0.7 : 8
Effervescent:                        0.7 : 8
Playful:                             0.7 : 8
Amiable/Good-Natured:                0.5000000000000001 : 7
Carefree:                            0.5000000000000001 : 7
Lively:                              0.5000000000000001 : 7
Quirky:                              0.5000000000000001 : 7
Springlike:                          0.5000000000000001 : 7
Theatrical:                          0.5000000000000001 : 7
Witty:                               0.5000000000000001 : 7
Sunday Afternoon:                    0.5000000000000001 : 7
Cheerful:                            0.30000000000000004 : 6
Fun:                                 0.30000000000000004 : 6
Giddy:                               0.30000000000000004 : 6
Playful_mood:                        0.30000000000000004 : 6
Whimsical:                           0.30000000000000004 : 6
Hanging Out:                         0.30000000000000004 : 6
Spring:                              0.30000000000000004 : 6
Precious:                            0.1 : 5
