Orchestral/Easy Listening:           0.9 : 8
Delicate:                            0.6333333333333333 : 7
Gentle:                              0.6333333333333333 : 7
Intimate:                            0.6333333333333333 : 7
Lush:                                0.6333333333333333 : 7
Precious:                            0.6333333333333333 : 7
Refined:                             0.6333333333333333 : 7
Restrained:                          0.6333333333333333 : 7
Soft/Quiet:                          0.6333333333333333 : 7
Soothing:                            0.6333333333333333 : 7
Sweet:                               0.6333333333333333 : 7
Dinner Ambiance:                     0.6333333333333333 : 7
Introspection:                       0.6333333333333333 : 7
Reflection:                          0.6333333333333333 : 7
Romantic Evening:                    0.6333333333333333 : 7
Stay in Bed:                         0.6333333333333333 : 7
Sunday Afternoon:                    0.6333333333333333 : 7
Reflective:                          0.3666666666666666 : 6
Sentimental:                         0.3666666666666666 : 6
Wistful:                             0.3666666666666666 : 6
Sweet Dreams:                        0.3666666666666666 : 6
Laid-Back/Mellow:                    0.1 : 5
