Club:                                0.9 : 9
Club/Dance:                          0.7666666666666667 : 8
Garage:                              0.7666666666666667 : 8
House:                               0.7666666666666667 : 8
Boisterous:                          0.7666666666666667 : 8
Rousing:                             0.7666666666666667 : 8
Slick:                               0.7666666666666667 : 8
Energetic:                           0.6333333333333333 : 7
Dramatic:                            0.5 : 6
Hypnotic:                            0.5 : 6
Yearning:                            0.5 : 6
Exuberant:                           0.3666666666666667 : 5
Rowdy:                               0.1 : 3
