Club/Dance:                          0.9 : 9
Contemporary Reggae:                 0.7000000000000001 : 8
Reggae-Pop:                          0.7000000000000001 : 8
Hypnotic:                            0.5000000000000001 : 7
Smooth:                              0.5000000000000001 : 7
Snide:                               0.5000000000000001 : 7
Stylish:                             0.5000000000000001 : 7
Bitter:                              0.30000000000000016 : 6
Earnest:                             0.30000000000000016 : 6
Laid-Back/Mellow:                    0.30000000000000016 : 6
Poignant:                            0.30000000000000016 : 6
Reflective:                          0.30000000000000016 : 6
Slick:                               0.30000000000000016 : 6
Revolutionary:                       0.30000000000000016 : 6
Searching:                           0.1 : 5
