The Great Outdoors:                  0.9 : 9
Traditional Country:                 0.7999999999999999 : 8
Amiable/Good-Natured:                0.7999999999999999 : 8
Organic:                             0.7999999999999999 : 8
Plaintive:                           0.7999999999999999 : 8
Earthy:                              0.7000000000000001 : 7
Rustic:                              0.7000000000000001 : 7
Picnic:                              0.7000000000000001 : 7
Refined:                             0.6000000000000001 : 6
Atmospheric:                         0.5000000000000001 : 5
Autumnal:                            0.5000000000000001 : 5
Earnest:                             0.5000000000000001 : 5
Pastoral:                            0.5000000000000001 : 5
Autumn:                              0.5000000000000001 : 5
Day Driving:                         0.5000000000000001 : 5
Early Morning:                       0.5000000000000001 : 5
Feeling Blue:                        0.5000000000000001 : 5
Freedom:                             0.5000000000000001 : 5
Hanging Out:                         0.5000000000000001 : 5
Late Night:                          0.5000000000000001 : 5
Road Trip:                           0.5000000000000001 : 5
Sunday Afternoon:                    0.5000000000000001 : 5
Smooth:                              0.4 : 4
Cheerful:                            0.1 : 1
