Autumnal:                            0.9 : 9
Adult Alternative:                   0.7000000000000001 : 8
Celtic:                              0.7000000000000001 : 8
Celtic New Age:                      0.7000000000000001 : 8
Restrained:                          0.7000000000000001 : 8
Long Walk:                           0.7000000000000001 : 8
Bittersweet:                         0.5000000000000001 : 7
Yearning:                            0.5000000000000001 : 7
Melancholy:                          0.30000000000000016 : 6
Poignant:                            0.30000000000000016 : 6
Reflective:                          0.30000000000000016 : 6
Searching:                           0.30000000000000016 : 6
Sentimental:                         0.30000000000000016 : 6
Wistful:                             0.30000000000000016 : 6
Solitude:                            0.1 : 5
